Step ,Description,StepDescription,TargetModule,NextState,SuccessCondition1,SuccessCondition2,SuccessCondition3,FailCondition,FailState,TimeoutSeconds,Assignations,Sound
18.1.1,WaitForHumanAcknowledgement ,TapDetector,GRIP,Next,TapDetected,,,GRIPFailed,Same,15,,
18.2.1,WaitForHumanAcknowledgement ,MoveToRestPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,Same,15,Position=0 GRIPMode=0,
20.1.1,ChangeTask,IndicateDone,T3W,Next,WorkerInSideWorkspace,,,T3WFailed,Same,15,,
21.2.1,InspectPart1,Inspection1,KUKA,Next,IADMoveComplete,KUKAMoveComplete,Part1OK,Part1Failed,17.1.1,20,Part1OK,
21.2.2,InspectPart1,Wait,ALL,Next,,,,,,1,,
21.3.1,InspectPart1,MoveToRestPosition,KUKA,Next,IADMoveComplete,KUKAMoveComplete,,KUKAFailed,Same,15,Position=0,
22.1.1,IndicateTaskFinish,TapDetector,GRIP,Next,TapDetected,,,GRIPFailed,Same,10,CurrentPart=0 PartCount=3,
23.2.1,Finish ,CollisionAvoidance,T3O,Next,FreeSpace,,,NoSpace,23.1.1,15,,
23.3.1,Finish ,MoveToRestPosition,KUKA,Next,IADMoveComplete,KUKAMoveComplete,,KUKAFailed,23.1.1,15,Position=0,
24.0.0,End,End,SMC,0.0.0,,,,,,60,,
